question,answer
"Provide a summary of the economic activities in Oyo State.","Oyo State boasts a diversified economy with strengths in agriculture, manufacturing, and solid minerals. The state also positions itself as a destination for tourism."
"What are the key demographic details of Oyo State?","Oyo State has a young population with 38% aged 0-14 and 58% aged 15-64. The labour force is estimated to be 4,032,123 (as of Q3 2018)."
"Write a short description of Oyo State, including its capital, climate, and some of its investment opportunities.","Oyo State, with Ibadan as its capital, enjoys a tropical savanna climate. The state has a strong and diversified economy with opportunities in agriculture, manufacturing, and solid minerals (marble, gemstones). Oyo State also boasts tourist attractions and offers easy access to Lagos State's international airport and seaport."
"What is the capital of Plateau State?","Jos"
"What is the land area of Plateau State?","27,147 km"
"What is the climate like in Plateau State?","Tropical savanna"
"What are the major economic activities in Plateau State?","Based on the information provided, agriculture, tourism, and mining seem to be major economic activities in Plateau State."
"What is the population of Plateau State?","4,185,428 (estimated in 2017)"
"Provide a summary of the economic activities in Plateau State.","Plateau State offers a blend of agricultural opportunities due to its fertile land and hydropower potential. The state also boasts mineral resources and positions itself as a tourist destination with its unique natural landscape."
"What are the key demographic details of Plateau State?","Plateau State has a young population with 44% aged 0-14 and 53% aged 15-64. The labour force is estimated to be 2,084,700 (as of Q3 2018)."
"Write a short description of Plateau State, including its capital, climate, and some of its investment opportunities.","Plateau State, with Jos as its capital, enjoys a tropical savanna climate. The state offers a mix of agricultural potential, mineral resources, and tourism opportunities.  Some specific investment opportunities include potatoes, granite, kaolin, and tea."
"What is the capital of Rivers State?","Port Harcourt"
"What is the land area of Rivers State?","10,575 km"
"What is the climate like in Rivers State?","Tropical monsoon and tropical rainforest"
"What are the major economic activities in Rivers State?","The brochure highlights oil and gas as the major economic activity in Rivers State. Additionally, the state has a large seaport, facilitating manufacturing and agricultural exports (cassava, oil palm, rice)."
"What is the population of Rivers State?","7,262,756 (estimated in 2017)"
"Provide a summary of the economic activities in Rivers State.","Rivers State is a major player in Nigeria's oil and gas industry. It boasts the country's second largest seaport, the biggest oil refinery, and is the 3rd largest oil producing state. However, the brochure also highlights opportunities in manufacturing, agriculture (cassava, oil palm, rice), and tourism."
"What are the key demographic details of Rivers State?","Rivers State has a young population with 38% aged 0-14 and 58% aged 15-64. The labour force is estimated to be 4,601,135 (as of Q3 2018)."
"Write a short description of Rivers State, including its capital, climate, and some of its investment opportunities.","Rivers State, with Port Harcourt as its capital, enjoys a tropical climate with both monsoon and rainforest characteristics. The state is the centre of Nigeria's oil and gas industry, boasting the country's second largest seaport and biggest oil refinery. Beyond oil and gas, Rivers State offers investment opportunities in manufacturing, agriculture (cassava, oil palm, rice), and tourism."
"What is the capital of Sokoto State?","Sokoto"
"What is the land area of Sokoto State?","27,825 km"
"What is the climate like in Sokoto State?","Hot semi-arid and tropical savanna"
"What are the major economic activities in Sokoto State?","Based on the information provided, agriculture and livestock seem to be major economic activities in Sokoto State."
"What is the population of Sokoto State?","4,976,087 (2017E)"
"What are the investment opportunities in Sokoto State?","Sokoto State offers investment opportunities in agriculture (rice, onion, garlic, sesame), livestock, phosphate, and limestone."
"What are the key demographic details of Sokoto State?","Information about the key demographic details of Sokoto State was not available in the brochure."
"Provide a summary of the economic activities in Sokoto State.","Sokoto State boasts rich fertile land for agriculture and ranks second in livestock production within Nigeria. The state also holds the advantage of significant mineral resources like limestone (largest reserves in Africa) and phosphate (largest deposits in Nigeria)."
"Write a short description of Sokoto State, including its capital, climate, and some of its investment opportunities.","Sokoto State, with Sokoto as its capital, features a hot semi-arid and tropical savanna climate. Agriculture and livestock rearing are major economic activities. The state offers unique investment opportunities due to its fertile land, vast mineral resources (largest limestone reserves in Africa and largest phosphate deposits in Nigeria), and hydropower potential."
"What is the capital of Taraba State?","Jalingo"
"What is the land area of Taraba State?","56,282 km"
"What is the climate like in Taraba State?","Taraba State enjoys a combination of tropical savanna and subtropical highland climate."
"What are the major economic activities in Taraba State?","Based on the information provided, agriculture and tourism seem to be major economic activities in Taraba State. The state is known for its tea production and boasts abundant arable land."
"What is the population of Taraba State?","3,054,208 (estimated in 2017)"
"Provide a summary of the economic activities in Taraba State.","Taraba State presents a diversified agricultural potential with opportunities in maize, vegetables, oil palm, cotton, fish, groundnut, and sorghum. The state is also rich in mineral resources and positions itself as a tourist destination with its unique topography."
"What are the key demographic details of Taraba State?","Taraba State has a young population with 38% aged 0-14 and 58% aged 15-64. The labour force is estimated to be 2,207,684 (as of Q3 2018)."
"Write a short description of Taraba State, including its capital, climate, and some of its investment opportunities.","Taraba State, with Jalingo as its capital, enjoys a unique climate ranging from tropical savanna to subtropical highland. The state is a major player in Nigeria's tea production and offers abundant agricultural opportunities (maize, vegetables, oil palm, cotton, fish, groundnut, sorghum). Taraba State boasts the highest point in Nigeria (Chappal Waddi) and rich mineral resources, making it an attractive destination for tourism and investment."
"What is the capital of Yobe State?","Damaturu"
"What is the land area of Yobe State?","46,609 km"
"What is the climate like in Yobe State?","Hot semi-arid and tropical savanna"
"What are the major economic activities in Yobe State?","Yobe State boasts a strong agricultural sector with a focus on livestock (5th in Nigeria) and crops like maize, gum arabic, millet, groundnut, and sesame. The state also holds significant mineral resources and positions itself as a tourist destination."
"What is the population of Yobe State?","3,274,478 (2017E)"
"Provide a summary of the economic activities in Yobe State.","Yobe State's economy is anchored in agriculture and livestock production. The state is known for its livestock (largest cattle market in West Africa) and high-quality gum arabic and sesame seeds. Yobe State also has abundant mineral resources and aspires to be a tourist destination."
"What are the key demographic details of Yobe State?","Yobe State has a young population with 38% aged 0-14 and 58% aged 15-64. The labour force is estimated to be 1,113,650 (as of Q3 2018)."
"Write a short description of Yobe State, including its capital, climate, and some of its investment opportunities.","Yobe State, with Damaturu as its capital, features a hot semi-arid and tropical savanna climate. Agriculture and livestock rearing are major economic activities. The state is particularly known for its livestock (largest cattle market in West Africa) and high-quality gum arabic and sesame seeds. Yobe State also boasts significant mineral resources and offers tourism potentials."
"What is the capital of Zamfara State?","Gusau"
"What is the land area of Zamfara State?","37,931 km"
"What is the climate like in Zamfara State?","Zamfara State experiences both tropical savanna and hot semi-arid climate."
"What are the major economic activities in Zamfara State?","The brochure highlights agriculture (rice, potato, wheat, beans) and mining (gold) as the major economic activities in Zamfara State."
"What is the population of Zamfara State?","4,492,846 (2017E)"
"Provide a summary of the economic activities in Zamfara State.","While 30% of the land is cultivable, agriculture appears to be a major economic activity in Zamfara State, with a focus on rice, potato, wheat, and beans. The state is also rich in mineral resources, particularly gold, making mining another key economic driver."
"What are the key demographic details of Zamfara State?","Zamfara State has a young population with 48% aged 0-14 and 53% aged 15-64. The labour force is estimated to be 1,427,042 (as of Q3 2018)."
"Write a short description of Zamfara State, including its capital, climate, and some of its investment opportunities.","Gusau is the capital of Zamfara State, which features a climate ranging from tropical savanna to hot semi-arid. Agriculture (rice, potato, wheat, beans) and mineral exploration (particularly gold) are highlighted as investment opportunities. It's important to note that the brochure ranks Zamfara 35th out of 37 in ease of doing business."
